,State,County,Year,Deaths,Population,Treatment,death_prop
448,Florida,Volusia,2009,106.0,495890.0,Treatment,0.0002137570832241021
449,Florida,Volusia,2010,104.0,494593.0,Treatment,0.00021027390197596811
450,Florida,Volusia,2011,89.0,494489.0,Treatment,0.00017998378123679193
451,Florida,Volusia,2012,85.0,497123.0,Treatment,0.0001709838410212362
452,Florida,Volusia,2013,100.0,501367.0,Treatment,0.00019945469087514735
453,Florida,Volusia,2014,75.0,507729.0,Treatment,0.00014771659684595522
454,Florida,Volusia,2015,98.0,517887.0,Treatment,0.00018923046919501745
455,Florida,Walton,2005,10.0,49581.0,Treatment,0.00020169016357072264
456,Florida,Walton,2006,16.0,51372.0,Treatment,0.00031145371019232265
457,Florida,Walton,2007,12.0,52664.0,Treatment,0.00022785963846270698
458,Florida,Baker,2003,6.0,23285.0,Treatment,0.0002576766158471119
459,Florida,Bradford,2003,1.0,27097.0,Treatment,3.6904454367642175e-05
460,Florida,Calhoun,2003,4.0,12986.0,Treatment,0.00030802402587401816
461,Florida,Charlotte,2003,8.0,152138.0,Treatment,5.258383835728089e-05
462,Florida,Columbia,2003,1.0,59898.0,Treatment,1.669504824868944e-05
463,Florida,DeSoto,2003,4.0,33531.0,Treatment,0.00011929259491217083
464,Florida,Dixie,2003,6.0,13895.0,Treatment,0.0004318100035984167
465,Florida,Flagler,2003,4.0,62154.0,Treatment,6.435627634585063e-05
466,Florida,Franklin,2003,1.0,9950.0,Treatment,0.00010050251256281407
467,Florida,Gadsden,2003,7.0,45223.0,Treatment,0.00015478849258120867
468,Florida,Gilchrist,2003,9.0,15448.0,Treatment,0.0005825996892801658
469,Florida,Glades,2003,8.0,10946.0,Treatment,0.0007308605883427736
470,Florida,Gulf,2003,8.0,15210.0,Treatment,0.0005259697567389875
471,Florida,Hamilton,2003,5.0,13850.0,Treatment,0.00036101083032490973
472,Florida,Hardee,2003,1.0,27416.0,Treatment,3.647505106507149e-05
473,Florida,Hendry,2003,0.0,36424.0,Treatment,0.0
474,Florida,Holmes,2003,3.0,18876.0,Treatment,0.0001589319771137953
475,Florida,Jackson,2003,5.0,46688.0,Treatment,0.0001070938999314599
476,Florida,Jefferson,2003,0.0,13405.0,Treatment,0.0
477,Florida,Lafayette,2003,5.0,7228.0,Treatment,0.000691754288876591
478,Florida,Levy,2003,0.0,35946.0,Treatment,0.0
479,Florida,Liberty,2003,2.0,7210.0,Treatment,0.00027739251040221914
480,Florida,Madison,2003,8.0,18619.0,Treatment,0.0004296686180783071
481,Florida,Nassau,2003,0.0,61513.0,Treatment,0.0
482,Florida,Okeechobee,2003,7.0,37303.0,Treatment,0.00018765246762994934
483,Florida,Putnam,2003,8.0,71248.0,Treatment,0.00011228385358185493
484,Florida,St. Johns,2003,1.0,142313.0,Treatment,7.026764947685735e-06
485,Florida,Sumter,2003,8.0,58797.0,Treatment,0.00013606136367501744
486,Florida,Suwannee,2003,5.0,36440.0,Treatment,0.00013721185510428101
487,Florida,Taylor,2003,0.0,19619.0,Treatment,0.0
488,Florida,Union,2003,5.0,13462.0,Treatment,0.00037141583717129696
489,Florida,Wakulla,2003,9.0,25699.0,Treatment,0.0003502081793065878
490,Florida,Walton,2003,2.0,45721.0,Treatment,4.3743575162398026e-05
491,Florida,Washington,2003,3.0,21299.0,Treatment,0.00014085168317761398
492,Florida,Alachua,2004,9.0,228346.0,Treatment,3.941387193119214e-05
493,Florida,Baker,2004,4.0,23789.0,Treatment,0.00016814494093908948
494,Florida,Bradford,2004,1.0,27791.0,Treatment,3.598287215285524e-05
495,Florida,Calhoun,2004,7.0,13058.0,Treatment,0.0005360698422423036
