State,County,MME,Population,Year,Treatment,_merge,Prescr_rate
Florida,Columbia,427839533690.2987,67542.0,2013,Treatment,both,6334422.043917839
Florida,Columbia,343530521650.25696,67923.0,2014,Treatment,both,5057646.476896736
Florida,DeSoto,16411780571.241,34764.0,2006,Treatment,both,472091.2602474111
Florida,DeSoto,16471180130.97771,35096.0,2007,Treatment,both,469317.87471443217
Florida,DeSoto,14577868817.55,35036.0,2008,Treatment,both,416082.5670039388
Florida,DeSoto,18860892442.0875,35297.0,2009,Treatment,both,534348.3140801627
Florida,DeSoto,28201290036.0,34862.0,2010,Treatment,both,808940.6814296369
Florida,DeSoto,39516941096.13251,34671.0,2011,Treatment,both,1139769.2912270343
Florida,DeSoto,38238681554.55,34808.0,2012,Treatment,both,1098560.1457868882
Florida,DeSoto,30366526630.428265,34692.0,2013,Treatment,both,875317.8436074099
Florida,DeSoto,29930933336.68916,35157.0,2014,Treatment,both,851350.6083195142
Florida,Dixie,2452326889.4,14859.0,2006,Treatment,both,165039.83373039908
Florida,Dixie,2626218238.0016,14871.0,2007,Treatment,both,176599.9756574272
Florida,Dixie,2788426135.3900003,14846.0,2008,Treatment,both,187823.39589047557
Florida,Dixie,2346122078.501925,14824.0,2009,Treatment,both,158265.1159270052
Florida,Dixie,2250276746.6,16422.0,2010,Treatment,both,137028.1784557301
Florida,Dixie,2057841908.19,16349.0,2011,Treatment,both,125869.58885497584
Florida,Dixie,2813307839.2975626,16060.0,2012,Treatment,both,175174.83432737002
Florida,Dixie,3003784245.5919,15946.0,2013,Treatment,both,188372.27176670637
Florida,Dixie,2877037385.565,15897.0,2014,Treatment,both,180979.89466974902
Florida,Duval,23761707419801.22,842100.0,2006,Treatment,both,28217203.918538436
Florida,Duval,29729708054660.773,848841.0,2007,Treatment,both,35023883.218012296
Florida,Duval,34911771792680.92,853116.0,2008,Treatment,both,40922655.05825811
Florida,Duval,47110524791975.18,857040.0,2009,Treatment,both,54968875.18899372
Florida,Duval,70199243262245.65,864263.0,2010,Treatment,both,81224399.58929822
Florida,Duval,63238920255894.23,872455.0,2011,Treatment,both,72483876.25252217
Florida,Duval,54392104005103.37,880959.0,2012,Treatment,both,61741924.43133377
Florida,Duval,47379660447458.766,887586.0,2013,Treatment,both,53380360.266451664
Florida,Duval,36006886794291.766,899353.0,2014,Treatment,both,40036433.74102467
Florida,Escambia,2478522656118.5938,305287.0,2006,Treatment,both,8118664.26057642
Florida,Escambia,3323452860194.26,302580.0,2007,Treatment,both,10983716.240975147
Florida,Escambia,3482893979815.906,302776.0,2008,Treatment,both,11503203.621871963
Florida,Escambia,3810640705244.014,303343.0,2009,Treatment,both,12562151.443230977
Florida,Escambia,5097348100463.452,297619.0,2010,Treatment,both,17127092.357891977
Florida,Escambia,4835715665934.134,299653.0,2011,Treatment,both,16137718.180475863
Florida,Escambia,4117749470136.68,304191.0,2012,Treatment,both,13536723.539278546
Florida,Escambia,3923333127075.455,307753.0,2013,Treatment,both,12748318.057258435
Florida,Escambia,3367396255312.118,309034.0,2014,Treatment,both,10896523.538873129
Florida,Flagler,150730166501.3946,82285.0,2006,Treatment,both,1831806.1189936756
Florida,Flagler,180212461056.04987,88088.0,2007,Treatment,both,2045823.052584346
Florida,Flagler,233384175314.7773,90700.0,2008,Treatment,both,2573144.160030621
Florida,Flagler,358328108724.20105,91622.0,2009,Treatment,both,3910939.6075636973
Florida,Flagler,450375209151.2232,95696.0,2010,Treatment,both,4706311.749197701
Florida,Flagler,491928772087.1588,97349.0,2011,Treatment,both,5053249.361443454
Florida,Flagler,487571114860.4605,98580.0,2012,Treatment,both,4945943.546971601
Florida,Flagler,444732496489.4306,100035.0,2013,Treatment,both,4445768.945763289
Florida,Flagler,395437602760.47687,102561.0,2014,Treatment,both,3855633.259820759
Florida,Franklin,1851940010.492,11134.0,2006,Treatment,both,166331.957112628
Florida,Franklin,1722795731.1825,11272.0,2007,Treatment,both,152838.5141219393
Florida,Franklin,1790719041.6427,11247.0,2008,Treatment,both,159217.48391950742
Florida,Franklin,1471827634.0825,11280.0,2009,Treatment,both,130481.17323426418
Florida,Franklin,2582707747.9225,11549.0,2010,Treatment,both,223630.422367521
Florida,Franklin,2149290821.961113,11495.0,2011,Treatment,both,186976.14806099285
Florida,Franklin,2334620767.98,11629.0,2012,Treatment,both,200758.5147458939
Florida,Franklin,3492370217.026388,11556.0,2013,Treatment,both,302212.7221379706
Florida,Franklin,2284849736.145,11699.0,2014,Treatment,both,195302.99479827334
Florida,Gadsden,16462035385.259472,46109.0,2006,Treatment,both,357024.34199959814
Florida,Gadsden,21603961289.935,46728.0,2007,Treatment,both,462334.38815988274
Florida,Gadsden,20522307935.64049,47450.0,2008,Treatment,both,432503.8553348892
Florida,Gadsden,22437876878.673813,47474.0,2009,Treatment,both,472635.06084749155
Florida,Gadsden,27719772487.47,46389.0,2010,Treatment,both,597550.5505070168
Florida,Gadsden,31236005327.67,47325.0,2011,Treatment,both,660031.8082973058
Florida,Gadsden,24806566218.898026,46560.0,2012,Treatment,both,532787.0751481535
Florida,Gadsden,22127159900.15,46053.0,2013,Treatment,both,480471.62834451615
Florida,Gadsden,18394657495.8,46147.0,2014,Treatment,both,398610.0395648688
Florida,Gilchrist,3235382598.3749995,16558.0,2006,Treatment,both,195396.9439772315
Florida,Gilchrist,3559449198.522,16918.0,2007,Treatment,both,210394.20726575245
Florida,Gilchrist,4948808516.4,17046.0,2008,Treatment,both,290320.8093629004
Florida,Gilchrist,7176540033.105787,17116.0,2009,Treatment,both,419288.38707091537
Florida,Gilchrist,7152346261.489025,16939.0,2010,Treatment,both,422241.3519976991
Florida,Gilchrist,7603012102.62,16986.0,2011,Treatment,both,447604.62160720595
Florida,Gilchrist,7471429108.849999,16878.0,2012,Treatment,both,442672.65723723185
Florida,Gilchrist,6981093419.547125,16921.0,2013,Treatment,both,412569.7901747606
Florida,Gilchrist,5686988554.403938,16977.0,2014,Treatment,both,334981.9493670223
Florida,Glades,304706900.70000005,10950.0,2009,Treatment,both,27827.114219178085
Florida,Glades,1367622359.3750002,12884.0,2010,Treatment,both,106148.89470467248
Florida,Glades,1363133224.6,13134.0,2011,Treatment,both,103786.60153799299
Florida,Glades,191706486.125,12978.0,2012,Treatment,both,14771.65095738943
Florida,Glades,63712474.20000001,13098.0,2013,Treatment,both,4864.290288593679
Florida,Glades,98912566.95,13479.0,2014,Treatment,both,7338.271900734476
Florida,Gulf,3858685003.784,15713.0,2006,Treatment,both,245572.77437688538
Florida,Gulf,4228914173.13125,15763.0,2007,Treatment,both,268281.0488568959
Florida,Gulf,4240556462.4275,15683.0,2008,Treatment,both,270391.9187928011
Florida,Gulf,3792226971.775,15755.0,2009,Treatment,both,240699.90300063472
Florida,Gulf,5770162822.999999,15863.0,2010,Treatment,both,363749.7839626804
Florida,Gulf,4571589336.594999,15665.0,2011,Treatment,both,291834.62091254385
Florida,Gulf,5514704575.38,15669.0,2012,Treatment,both,351950.0016197588
Florida,Gulf,5770246550.400001,15790.0,2013,Treatment,both,365436.7669664345
Florida,Gulf,6160705133.775001,15932.0,2014,Treatment,both,386687.4927049335
Florida,Hamilton,1145165808.293,14124.0,2006,Treatment,both,81079.42567919852
Florida,Hamilton,1549844086.362,14251.0,2007,Treatment,both,108753.35670212617
Florida,Hamilton,2545357002.074,14412.0,2008,Treatment,both,176613.72481779073
Florida,Hamilton,1605907191.405,14592.0,2009,Treatment,both,110053.94677939967
Florida,Hamilton,2844218479.6841125,14799.0,2010,Treatment,both,192189.9101077176
Florida,Hamilton,1569645123.97,14598.0,2011,Treatment,both,107524.66940471297
Florida,Hamilton,903315346.9875,14708.0,2012,Treatment,both,61416.59960480691
