,State,County,Year,Treatment,death_prop
211,Texas,Val Verde,2003,Treatment,9.918010452124231e-05
212,Texas,Van Zandt,2003,Treatment,9.914186692642539e-05
213,Texas,Victoria,2003,Treatment,9.88022839191904e-05
214,Texas,Walker,2003,Treatment,9.901950662301128e-05
215,Texas,Waller,2003,Treatment,9.929289567146374e-05
216,Texas,Ward,2003,Treatment,9.953213425576976e-05
217,Texas,Washington,2003,Treatment,9.933021634436412e-05
218,Texas,Wharton,2003,Treatment,9.923173502873362e-05
219,Texas,Wheeler,2003,Treatment,9.95853840083477e-05
220,Texas,Wilbarger,2003,Treatment,9.949433561293417e-05
221,Texas,Willacy,2003,Treatment,9.943802295097548e-05
222,Texas,Wilson,2003,Treatment,9.929032048650667e-05
223,Texas,Winkler,2003,Treatment,9.956694802513241e-05
224,Texas,Wise,2003,Treatment,9.91067410134316e-05
225,Texas,Wood,2003,Treatment,9.924821035976571e-05
226,Texas,Yoakum,2003,Treatment,9.956176839175289e-05
227,Texas,Young,2003,Treatment,9.945859516716652e-05
228,Texas,Zapata,2003,Treatment,9.950775778907397e-05
229,Texas,Zavala,2003,Treatment,9.951973630091968e-05
230,Texas,Andrews,2004,Treatment,8.870378622435021e-05
231,Texas,Angelina,2004,Treatment,8.803919341565991e-05
232,Texas,Aransas,2004,Treatment,8.859693555760926e-05
233,Texas,Archer,2004,Treatment,8.874092156196959e-05
234,Texas,Armstrong,2004,Treatment,8.880815925101882e-05
235,Texas,Atascosa,2004,Treatment,8.841812602939783e-05
236,Texas,Austin,2004,Treatment,8.857967011301082e-05
237,Texas,Bailey,2004,Treatment,8.876462496896069e-05
238,Texas,Bandera,2004,Treatment,8.864038204927114e-05
239,Texas,Bastrop,2004,Treatment,8.81695816630879e-05
240,Texas,Baylor,2004,Treatment,8.879023050120416e-05
241,Texas,Bee,2004,Treatment,8.851024741854348e-05
242,Texas,Bell,2004,Treatment,3.9134501367750825e-05
243,Texas,Blanco,2004,Treatment,8.874219939995965e-05
244,Texas,Borden,2004,Treatment,8.882210816953622e-05
245,Texas,Bosque,2004,Treatment,8.865577463208265e-05
246,Texas,Bowie,2004,Treatment,8.795407574923839e-05
247,Texas,Brazos,2004,Treatment,6.204205210291535e-05
248,Texas,Brewster,2004,Treatment,8.873901943671723e-05
249,Texas,Briscoe,2004,Treatment,8.881237319003946e-05
250,Texas,Brooks,2004,Treatment,8.875428521117857e-05
251,Texas,Brown,2004,Treatment,8.845830476742102e-05
252,Texas,Burleson,2004,Treatment,8.866546083913704e-05
253,Texas,Burnet,2004,Treatment,8.843968344892472e-05
254,Texas,Caldwell,2004,Treatment,8.847668222370546e-05
255,Texas,Calhoun,2004,Treatment,8.863011057290833e-05
256,Texas,Callahan,2004,Treatment,8.870075257843489e-05
257,Texas,Camp,2004,Treatment,8.871284814414228e-05
258,Texas,Carson,2004,Treatment,8.87668489923327e-05
259,Texas,Cass,2004,Treatment,8.854038878792722e-05
260,Texas,Castro,2004,Treatment,8.875452907339042e-05
261,Texas,Chambers,2004,Treatment,8.855856139995373e-05
262,Texas,Cherokee,2004,Treatment,8.836637846804485e-05
263,Texas,Childress,2004,Treatment,8.875457784583279e-05
264,Texas,Clay,2004,Treatment,8.871815458587198e-05
265,Texas,Cochran,2004,Treatment,8.87963368109887e-05
266,Texas,Coke,2004,Treatment,8.879342997342354e-05
267,Texas,Coleman,2004,Treatment,8.87441502976544e-05
268,Texas,Collingsworth,2004,Treatment,8.879904855878438e-05
269,Texas,Colorado,2004,Treatment,8.862946677666907e-05
270,Texas,Comal,2004,Treatment,8.794097547121821e-05
271,Texas,Comanche,2004,Treatment,8.86970751362803e-05
272,Texas,Concho,2004,Treatment,8.879208385401416e-05
273,Texas,Cooke,2004,Treatment,8.84587144559369e-05
274,Texas,Coryell,2004,Treatment,8.81197654904527e-05
275,Texas,Cottle,2004,Treatment,8.881198301050051e-05
276,Texas,Crane,2004,Treatment,8.879150833919421e-05
277,Texas,Crockett,2004,Treatment,8.879083527948953e-05
278,Texas,Crosby,2004,Treatment,8.876394215476754e-05
279,Texas,Culberson,2004,Treatment,8.880258943810035e-05
280,Texas,Dallam,2004,Treatment,8.876936565035891e-05
281,Texas,Dawson,2004,Treatment,8.869191501187772e-05
282,Texas,Deaf Smith,2004,Treatment,8.864997071144079e-05
283,Texas,Delta,2004,Treatment,8.877485742736961e-05
284,Texas,DeWitt,2004,Treatment,8.863306618291587e-05
285,Texas,Dickens,2004,Treatment,8.88027162464505e-05
286,Texas,Dimmit,2004,Treatment,8.873160602547721e-05
287,Texas,Donley,2004,Treatment,8.87901427108079e-05
288,Texas,Duval,2004,Treatment,8.870584442141816e-05
289,Texas,Eastland,2004,Treatment,8.8650263346095e-05
290,Texas,Edwards,2004,Treatment,8.88095443883821e-05
291,Texas,Ellis,2004,Treatment,7.86342798279482e-05
292,Texas,Erath,2004,Treatment,8.849472802738181e-05
293,Texas,Falls,2004,Treatment,8.865655499116054e-05
294,Texas,Fannin,2004,Treatment,8.851403216007128e-05
295,Texas,Fayette,2004,Treatment,8.861074791328803e-05
296,Texas,Fisher,2004,Treatment,8.878911848951816e-05
297,Texas,Floyd,2004,Treatment,8.87590258925768e-05
298,Texas,Foard,2004,Treatment,8.881388513575288e-05
299,Texas,Fort Bend,2004,Treatment,2.284972648877393e-05
300,Texas,Franklin,2004,Treatment,8.873241564802052e-05
301,Texas,Freestone,2004,Treatment,8.864828318493485e-05
302,Texas,Frio,2004,Treatment,8.867094286165925e-05
303,Texas,Gaines,2004,Treatment,8.868981779685587e-05
304,Texas,Garza,2004,Treatment,8.877974442609493e-05
305,Texas,Gillespie,2004,Treatment,8.861085521266125e-05
306,Texas,Glasscock,2004,Treatment,8.8816070141171e-05
307,Texas,Goliad,2004,Treatment,8.876043053891702e-05
308,Texas,Gonzales,2004,Treatment,8.864033327682877e-05
309,Texas,Gray,2004,Treatment,8.86215949044708e-05
310,Texas,Grayson,2004,Treatment,8.702614265325304e-05
311,Texas,Gregg,2004,Treatment,8.771915840332621e-05
312,Texas,Grimes,2004,Treatment,8.858483023741342e-05
313,Texas,Guadalupe,2004,Treatment,8.786252012042422e-05
314,Texas,Hale,2004,Treatment,8.847770644499521e-05
315,Texas,Hall,2004,Treatment,8.879290323104596e-05
316,Texas,Hamilton,2004,Treatment,8.875089064918972e-05
317,Texas,Hansford,2004,Treatment,8.877872995929366e-05
318,Texas,Hardeman,2004,Treatment,8.878593852627574e-05
319,Texas,Hardin,2004,Treatment,8.83426945700307e-05
320,Texas,Harrison,2004,Treatment,8.822018794928947e-05
321,Texas,Hartley,2004,Treatment,8.877695464239146e-05
322,Texas,Haskell,2004,Treatment,8.877527687037397e-05
323,Texas,Hays,2004,Treatment,8.30813199960121e-05
324,Texas,Hemphill,2004,Treatment,8.879658067320053e-05
325,Texas,Henderson,2004,Treatment,8.806555004351585e-05
326,Texas,Hill,2004,Treatment,8.849261130338303e-05
327,Texas,Hockley,2004,Treatment,8.860848487196214e-05
328,Texas,Hood,2004,Treatment,8.838214172141836e-05
329,Texas,Hopkins,2004,Treatment,8.850784781437895e-05
330,Texas,Houston,2004,Treatment,8.860406608868355e-05
331,Texas,Howard,2004,Treatment,8.851268604066191e-05
332,Texas,Hudspeth,2004,Treatment,8.87974780861401e-05
333,Texas,Hunt,2004,Treatment,8.80383447751627e-05
334,Texas,Hutchinson,2004,Treatment,8.861162581725066e-05
335,Texas,Irion,2004,Treatment,8.881198301050051e-05
336,Texas,Jack,2004,Treatment,8.874261884296401e-05
337,Texas,Jackson,2004,Treatment,8.869079324570323e-05
338,Texas,Jasper,2004,Treatment,8.84869439455798e-05
339,Texas,Jeff Davis,2004,Treatment,8.880710576626366e-05
340,Texas,Jim Hogg,2004,Treatment,8.877937375553294e-05
341,Texas,Jim Wells,2004,Treatment,8.843348934874391e-05
342,Texas,Johnson,2004,Treatment,7.07523808176145e-05
343,Texas,Jones,2004,Treatment,8.863629491860066e-05
344,Texas,Karnes,2004,Treatment,8.868051201485196e-05
345,Texas,Kaufman,2004,Treatment,8.800370658659258e-05
346,Texas,Kendall,2004,Treatment,8.856437507508406e-05
347,Texas,Kenedy,2004,Treatment,8.882445900125839e-05
348,Texas,Kent,2004,Treatment,8.882118149313122e-05
349,Texas,Kerr,2004,Treatment,8.838406335564766e-05
350,Texas,Kimble,2004,Treatment,8.878460216135483e-05
351,Texas,King,2004,Treatment,8.88254929770366e-05
352,Texas,Kinney,2004,Treatment,8.879677576297001e-05
353,Texas,Kleberg,2004,Treatment,8.85272690009301e-05
354,Texas,Knox,2004,Treatment,8.879180097384843e-05
355,Texas,Lamar,2004,Treatment,8.835046889734423e-05
356,Texas,Lamb,2004,Treatment,8.868890087493933e-05
357,Texas,Lampasas,2004,Treatment,8.863137865640992e-05
358,Texas,La Salle,2004,Treatment,8.877102391339944e-05
359,Texas,Lavaca,2004,Treatment,8.864535683839273e-05
360,Texas,Lee,2004,Treatment,8.867088433472841e-05
361,Texas,Leon,2004,Treatment,8.867395699859763e-05
362,Texas,Liberty,2004,Treatment,8.810350475816703e-05
363,Texas,Limestone,2004,Treatment,8.86089823508743e-05
364,Texas,Lipscomb,2004,Treatment,8.879997523518937e-05
365,Texas,Live Oak,2004,Treatment,8.871573547273051e-05
366,Texas,Llano,2004,Treatment,8.865439924920785e-05
367,Texas,Loving,2004,Treatment,8.882814619790145e-05
368,Texas,Lynn,2004,Treatment,8.876955098563993e-05
369,Texas,McCulloch,2004,Treatment,8.875068580493177e-05
370,Texas,McMullen,2004,Treatment,8.882088885847702e-05
371,Texas,Madison,2004,Treatment,8.870100619513519e-05
372,Texas,Marion,2004,Treatment,8.872306109357425e-05
373,Texas,Martin,2004,Treatment,8.87861336160452e-05
374,Texas,Mason,2004,Treatment,8.879123521351696e-05
375,Texas,Matagorda,2004,Treatment,8.846209926343728e-05
376,Texas,Maverick,2004,Treatment,8.834663538337407e-05
377,Texas,Medina,2004,Treatment,8.842018422646579e-05
378,Texas,Menard,2004,Treatment,8.880684239507487e-05
379,Texas,Midland,2004,Treatment,8.393134416047674e-05
380,Texas,Milam,2004,Treatment,8.858491802780967e-05
381,Texas,Mills,2004,Treatment,8.877992000688746e-05
382,Texas,Mitchell,2004,Treatment,8.873845367638576e-05
383,Texas,Montague,2004,Treatment,8.864018695950166e-05
384,Texas,Moore,2004,Treatment,8.863369047017819e-05
385,Texas,Morris,2004,Treatment,8.870322046401874e-05
386,Texas,Motley,2004,Treatment,8.881589456037847e-05
387,Texas,Nacogdoches,2004,Treatment,8.823819473501192e-05
388,Texas,Navarro,2004,Treatment,8.836337408559495e-05
389,Texas,Newton,2004,Treatment,8.86899933776484e-05
390,Texas,Nolan,2004,Treatment,8.868352615179033e-05
391,Texas,Ochiltree,2004,Treatment,8.874116542418144e-05
392,Texas,Oldham,2004,Treatment,8.88079446522724e-05
393,Texas,Palo Pinto,2004,Treatment,8.856437507508406e-05
394,Texas,Panola,2004,Treatment,8.86073826147646e-05
395,Texas,Parmer,2004,Treatment,8.87333910968679e-05
396,Texas,Pecos,2004,Treatment,8.867401552552847e-05
397,Texas,Polk,2004,Treatment,8.838266846379591e-05
398,Texas,Potter,2004,Treatment,8.451370812345763e-05
399,Texas,Presidio,2004,Treatment,8.875567034854183e-05
400,Texas,Rains,2004,Treatment,8.872549971569267e-05
401,Texas,Randall,2004,Treatment,8.777153025194154e-05
402,Texas,Reagan,2004,Treatment,8.879922413957691e-05
403,Texas,Real,2004,Treatment,8.879964358258129e-05
404,Texas,Red River,2004,Treatment,8.86961191964099e-05
405,Texas,Reeves,2004,Treatment,8.871570620926508e-05
406,Texas,Refugio,2004,Treatment,8.87547924445792e-05
407,Texas,Roberts,2004,Treatment,8.882063524177671e-05
408,Texas,Robertson,2004,Treatment,8.867391798064373e-05
409,Texas,Rockwall,2004,Treatment,8.82631272075507e-05
410,Texas,Runnels,2004,Treatment,8.872446573991446e-05
411,Texas,Rusk,2004,Treatment,8.836488603130836e-05
412,Texas,Sabine,2004,Treatment,8.872824072695379e-05
413,Texas,San Augustine,2004,Treatment,8.87421798909827e-05
414,Texas,San Jacinto,2004,Treatment,8.859229242109581e-05
415,Texas,San Patricio,2004,Treatment,8.816759174743926e-05
416,Texas,San Saba,2004,Treatment,8.87695217221745e-05
417,Texas,Schleicher,2004,Treatment,8.880198465981497e-05
418,Texas,Scurry,2004,Treatment,8.867377166331663e-05
419,Texas,Shackelford,2004,Treatment,8.879783900221363e-05
420,Texas,Shelby,2004,Treatment,8.857735829924255e-05
421,Texas,Sherman,2004,Treatment,8.879933143895013e-05
422,Texas,Somervell,2004,Treatment,8.875728959362847e-05
423,Texas,Starr,2004,Treatment,8.825630882010758e-05
424,Texas,Stephens,2004,Treatment,8.873800496991596e-05
425,Texas,Sterling,2004,Treatment,8.881583603344763e-05
426,Texas,Stonewall,2004,Treatment,8.881496788397347e-05
427,Texas,Sutton,2004,Treatment,8.878845518430194e-05
428,Texas,Swisher,2004,Treatment,8.875194413394488e-05
429,Texas,Terrell,2004,Treatment,8.88192598589019e-05
430,Texas,Terry,2004,Treatment,8.870797089990542e-05
431,Texas,Throckmorton,2004,Treatment,8.881264631571673e-05
432,Texas,Titus,2004,Treatment,8.854758760042081e-05
433,Texas,Tom Green,2004,Treatment,8.780621721295401e-05
434,Texas,Trinity,2004,Treatment,8.869148581438488e-05
435,Texas,Tyler,2004,Treatment,8.862884248940675e-05
436,Texas,Upshur,2004,Treatment,8.846679117239313e-05
437,Texas,Upton,2004,Treatment,8.87985218164068e-05
438,Texas,Uvalde,2004,Treatment,8.857118370803869e-05
439,Texas,Val Verde,2004,Treatment,8.837083626927732e-05
440,Texas,Van Zandt,2004,Treatment,8.832861884316314e-05
441,Texas,Victoria,2004,Treatment,8.799722960624605e-05
442,Texas,Walker,2004,Treatment,8.820970187418023e-05
443,Texas,Waller,2004,Treatment,8.848989955558734e-05
444,Texas,Ward,2004,Treatment,8.872959660085163e-05
445,Texas,Washington,2004,Treatment,8.85243719178534e-05
446,Texas,Wharton,2004,Treatment,8.842909982893074e-05
447,Texas,Wheeler,2004,Treatment,8.87826512636601e-05
448,Texas,Wilbarger,2004,Treatment,8.869312456844845e-05
449,Texas,Willacy,2004,Treatment,8.86332027457545e-05
450,Texas,Wilson,2004,Treatment,8.847640909802821e-05
451,Texas,Winkler,2004,Treatment,8.876411773556006e-05
452,Texas,Wise,2004,Treatment,8.829537554644478e-05
453,Texas,Wood,2004,Treatment,8.843736188066798e-05
454,Texas,Yoakum,2004,Treatment,8.875765050970199e-05
455,Texas,Young,2004,Treatment,8.865590144043281e-05
456,Texas,Zapata,2004,Treatment,8.870318144606485e-05
457,Texas,Zavala,2004,Treatment,8.871659386771618e-05
458,Texas,Anderson,2005,Treatment,9.679113694794725e-05
459,Texas,Andrews,2005,Treatment,9.721338924499689e-05
460,Texas,Angelina,2005,Treatment,9.65463480596997e-05
461,Texas,Aransas,2005,Treatment,9.709963240041657e-05
462,Texas,Archer,2005,Treatment,9.725027096591596e-05
463,Texas,Armstrong,2005,Treatment,9.731697215809914e-05
